Exercise,Utility,Mechanics,Force,Instructions,Muscle
suspended neck flexion,basic or auxiliary,isolated,pull,Place belt or strap around end of suspension trainer. Face away from suspension trainer with belt in hand. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to back of mid-head. Step forward until suspension trainer is taut. Lean forward at angle against support of belt and suspension trainer by stepping back slightly while keeping head and body straight.increase angle of body by bowing head until chin touches upper chest. lower angle of body by raising head. repeat.,sternocleidomastoid
suspended lateral neck flexion,auxiliary,isolated,pull,Place belt or strap around end of suspension trainer. Hold belt in hand and stand away from suspension trainer so it hangs to one side. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to head above ear closest to suspension trainer. Step further away from suspension trainer until it is taut. Lean away at angle against support of belt and suspension trainer by positioning feet closer to side of suspension trainer while keeping head and body straight.lower angle of body by tilting head to side of suspension trainer. increase angle of body by tilting head away from side of suspension trainer. repeat and continue in opposite position.,sternocleidomastoid
cable neck extension,basic or auxiliary,isolated,pull,"Sit on bench facing pulley. Place neck in harness cable attachment. Place forearms on lower thighs for support.
move head away from pulley by hyperextending neck. return by bending neck forward until chin touches upper chest. repeat.",splenius
lever neck extension (plate loaded),basic or auxiliary,isolated,pull,"Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.
move head back by hyperextending neck. return by bending neck forward until chin touches upper chest. repeat.",splenius
lever neck extension,basic or auxiliary,isolated,pull,"Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.
move head back by hyperextending neck. return by bending neck forward until chin touches upper chest. repeat.",splenius
weighted lying neck extension,basic or auxiliary,isolated,pull,"Lie prone on bench with head extended off of end and folded towel and weight plate(s) on floor. With both hands, place plate(s) on back of head with towel placed in between for comfort.
move head up by hyperextending neck up as high as possible. return by bending neck down until chin touches upper chest. repeat.",splenius
weighted neck extension,basic or auxiliary,isolated,pull,"Kneel on side of bench with weight plates on end of bench. With both hands, hold weight plate(s) cushioned with towel. Position upper body prone and perpendicular on bench with head and arms extending off of side. With both hands, place weight plate(s) on back of head with towel placed in between for comfort.
move head up by hyperextending neck up as high as possible. return by bending neck down until chin touches upper chest. repeat.",splenius
weighted seated neck extension,basic or auxiliary,isolated,pull,"Place folded towel on weight plate. On bench or stool, sit bent over on thighs. With both hands, place plate(s) on back of head with towel placed in between for comfort.
move head up by hyperextending neck up as high as possible. return by bending neck down until chin touches upper chest. repeat.",splenius
rear neck bridge,basic or auxiliary,isolated,pull,"Lying supine on well cushioned mat. Position feet very close to hips. Raise buttocks and low back slightly off of floor and fold hands on abdomen.
extend hips and knees while pushing head back into floor. roll back on head while arching spine high off of floor. hyperextend neck back in attempt to bring forehead toward mat. return body to close to mat until back of head and shoulders make contact with mat. repeat.",splenius
wall rear neck bridge,basic or auxiliary,isolated,pull,"Preparation
execution",splenius
suspended neck extension,basic or auxiliary,isolated,pull,Preparationexecution,splenius
cable neck flexion (with belt),basic or auxiliary,isolated,pull,"Attach belt on low pulley cable by attaching carabiner on belt buckle. Grasp attached belt, face away from pulley, and place head in belt loop. With belt above ears, clamp belt snugly around head by tightly gripping ends close to back of mid-head. With neck braced and assistance of arm, lunge forward to angle torso forward with feet staggered. Place hand on lower thigh for support.pull head forward and down by flexing neck until chin touches upper chest. return by hyperextending neck until head is angled upward. repeat.",sternocleidomastoid
cable neck extension (with belt),basic or auxiliary,isolated,pull,"Sit on bench facing low pulley. Attach belt on low pulley cable by attaching carabiner on belt buckle. Place head in belt loop. With belt above ears, clamp belt snugly around head by tightly gripping ends close to forehead. Place other hand or forearm on lower thighs for support.pull head up and back by hyperextending neck. return by bending neck forward until chin touches upper chest. repeat.",splenius
weighted neck harness extension,basic or auxiliary,isolated,pull,"Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over.
move head up by hyperextending neck. return by bending neck down until chin touches upper chest. repeat.",splenius
machine-assisted triceps dip,basic,compound,push," Mount shoulder width dip bar, arms straight with shoulders above hands. Step down onto assistance lever. Keep hips and knees straight.
lower body until slight stretch is felt in shoulders. push body up until arms are straight. repeat.",triceps brachii
barbell close grip bench press,basic,compound,push,"Lie on bench and grasp barbell from rack with shoulder width grip.
lower weight to chest with elbows close to body. push barbell back up until arms are straight. repeat.",triceps brachii
barbell jm bench press,basic,compound,push," Lie on bench with back flat on bench and grasp barbell from rack with shoulder width or slightly narrower grip.
lower in straight line toward neck while keeping elbows relatively high and bending them out to sides, approximately 45° from midline of body. flex wrists slightly as bar is lowered as to keep weight of bar on base of palms. pause when forearms mak


e solid contact with biceps. push barbell back up until arms are straight. repeat.",triceps brachii
barbell lying triceps extension,basic,isolated,push," Lie on bench with narrow overhand grip on barbell. Position barbell over forehead with arms extended.
lower bar by bending elbows. as bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. extend arms. as bar clears head, reposition elbows to their former position until arms are fully extended. repeat.",triceps brachii
barbell triceps extension,basic or auxiliary,isolated,push," Position barbell overhead with narrow overhand grip.
lower forearm behind upper arm with elbows remaining overhead. extend forearm overhead. lower and repeat.",triceps brachii
cable bent-over triceps extension,basic or auxiliary,isolated,push,"Grasp cable bar from medium high pulley with narrow or shoulder width overhand grip. Turn body away from pulley apparatus and position turned cable bar behind neck. Bend over downward with cable bar positioned behind neck, gripped at each side. Lunge forward with one leg. Allow elbows to be pulled back under cable resistance.extend forearms forward until elbows are straight. allow cable bar to return back over neck. repeat.",triceps brachii
cable bar pushdown,basic or auxiliary,isolated,push," Position adjustable pulleys slightly above head. Face cable bar and grasp with overhand narrow grip. Position elbows to side.
extend arms down. return until forearm is close to upper arm. repeat.",triceps brachii
cable forward triceps extension,auxiliary,isolated,push," Grasp stirrup from medium high pulley. Turn body away from pulley apparatus and position stirrup over shoulder with palms down. Step forward with one foot so cable is taut. Position elbow forward about shoulder height.
push stirrup forward by extending forearm until elbow is straight. allow stirrup to return back over shoulder. repeat and repeat. continue with opposite arm.",triceps brachii
cable incline triceps extension,basic,isolated,push," Grasp cable bar from behind with narrow overhand grip. Position elbows overhead.
extend forearm overhead until elbows are straight. lower until forearms are against upper arms. repeat.",triceps brachii
cable kneeling triceps extension,basic or auxiliary,isolated,push,"Grasp cable bar from middle pulley with narrow or shoulder width overhand grip. Turn body away from pulley apparatus with cable bar above head. Kneel before bench, bend over and place elbows on edge of bench. Maintain upper arms parallel with shoulders as low as possible.
extend forearms over head until elbow are fully extended. return and repeat.",triceps brachii
cable lying triceps extension,basic,isolated,push,"Lie on bench and grasp bar with narrow overhand grip. With arms extended, position bar over forehead.
lower bar by bending elbow. as bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. extend arm. as bar clears head, reposition elbows to its former position until arm is fully extended. repeat.",triceps brachii
cable pushdown,basic or auxiliary,isolated,push," Face high pulley and grasp cable attachment with narrow overhand grip. Position elbows to side.
extend arms down. return until forearm is close to upper arm. repeat.",triceps brachii
cable side triceps extension,auxiliary,isolated,push,"Grasp stirrup from medium high pulley. Turn body so pulley is to side of free arm while lifting stirrup over head. Step forward, just slightly to allow stirrup to be placed behind head, just over shoulder. Place elbow just slightly higher than shoulder height and position palm down.
push stirrup out to side by extending forearm until elbow is straight. allow stirrup to return back over shoulder. repeat and repeat. continue with opposite arm.",triceps brachii
cable triceps dip,basic,compound,push," Step between shoulder width dip bars with dip belt around waist. Kneel as close to low pulley and attach cable to dip belt. Stand up and mount dip bar, arms straight with shoulders above hands. Keep hips straight.
lower body by bending arms until slight stretch is felt in shoulders. push body up until arms are straight. repeat.",triceps brachii
cable triceps extension,basic or auxiliary,isolated,push," Stand or sit on bench or seat with back support just below shoulders. Position cable bar behind neck or shoulders with narrow overhand grip. Position elbows over head.
extend forearm overhead until arms are straight. lower until forearms are against upper arms. repeat.",triceps brachii
dumbbell kickback,auxiliary,isolated,push," Kneel over bench with arm supporting body. Grasp dumbbell. Position upper arm parallel to floor.
extend arm until it is straight. return and repeat. continue with opposite arm.",triceps brachii
dumbbell lying triceps extension,basic or auxiliary,isolated,push," Lie on bench and position dumbbells over head with arms extended.
lower dumbbells by bending elbow until they are to sides of head. extend arm. repeat.",triceps brachii
dumbbell one arm triceps extension,basic or auxiliary,isolated,push," Sit on seat with back support just below shoulder height. Position dumbbell over head with arm straight up or slightly back.
lower dumbbell behind neck or shoulder while maintaining upper arm's vertical position throughout exercise. extend arm until straight. return and repeat. continue with opposite arm.",triceps brachii
dumbbell triceps extension,basic or auxiliary,isolated,push," Position one dumbbell over head with both hands under inner plate (heart shaped grip).
with elbows over head, lower forearm behind upper arm by flexing elbows. flex wrists at bottom to avoid hitting dumbbell on back of neck. raise dumbbell over head by extending elbows while hyperextending wrists. return and repeat.",triceps brachii
lever close grip bench press (plate loaded),basic,compound,push," Lie on bench with lever handles above sides of chest. Grasp handles with narrow overhand grip just above each side of chest.
press lever up until arms are extended. return weights down to starting position. repeat.",triceps brachii
lever triceps extension (plate loaded),basic or auxiliary,isolated,push," Sit on seat. Place forearms on lever pad and back of upper arms, parallel on padding with elbows in line with lever's fulcrum.
push lever down until arms are fully extended. return and repeat.",triceps brachii
lever triceps dip (plate loaded),basic,compound,push," Sit upright on seat. If possible, place handles in narrow position. Grasp handles.
push levers down with elbows pointing back. allow lever bar to raise until shoulders are slightly stretched. repeat.",triceps brachii
lever incline triceps extension,basic or auxiliary,isolated,push,"Sit on seat and lie back on back support. Push foot lever down with foot and grasp lever handles from behind. With lever handles behind head, place both feet on support or floor.
push lever handles up over head until arms are fully extended. return and repeat.",triceps brachii
lever overhead triceps extension,basic or auxiliary,isolated,push," Sit on seat. Push foot lever down with foot and grasp lever handles from behind. With lever handles behind neck, place both feet on support or floor.
push lever handles up over head until arms are fully extended. return and repeat.",triceps brachii
lever pushdown,basic or auxiliary,isolated,push," Sit on seat and grasp handles by shoulders. Position elbows to sides.
push lever down beyond hips until arm is fully extended. return and repeat.",triceps brachii
lever seated close grip press,basic,compound,push," Sit on seat with chest at height of handles. Grasp handles with shoulder width or slightly narrower overhand grip, just against sides of chest; elbows somewhat down to sides.
press lever until arms are extended. return weight until forearm is against upper arm. repeat.",triceps brachii
lever triceps dip,basic,compound,push,"If possible, place handles in narrow position. Sit on seat with back against pad. Grasp handles and position elbows back.
push levers down by straightening arms downward. allow lever bar to raise with elbows pointing back until shoulders are slightly stretched. repeat.",triceps brachii
lever triceps extension,basic or auxiliary,isolated,push,"Sit on seat. Grasp handles and place back of upper arms parallel on padding with elbows approximately in line with lever's fulcrum.
push lever down until arms are fully extended. return until forearms contact upper arms. repeat.",triceps brachii
smith close grip bench press,basic,compound,push," Lie on bench with bar above chest and grasp bar with shoulder width or slightly narrower grip. Disengage bar by rotating bar back.
lower weight to chest with elbows close to body. push bar back up until arms are straight. repeat.",triceps brachii
weighted bench dip,basic,compound,push,"Sit on inside of one of two benches placed parallel, slightly less than leg's length away. Place hands on edge of bench. Straighten arms, slide rear end off of edge of bench and position heels on adjacent bench with legs straight. Have assistant place weight on lap near hips.
lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. raise body and repeat.",triceps brachii
weighted close grip push-up,basic,compound,push,"Lie prone on floor with hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight. Partner can place weight plate(s) on back if needed.
keeping body straight, lower body to floor by bending arms. push body up until arms are extended. repeat.",triceps brachii
weighted triceps dip,basic,compound,push,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mount shoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.
lower body until slight stretch is felt in shoulders. push body up until arms are straight. repeat.",triceps brachii
bench dip,basic,compound,push,"Sit on inside of one of two benches placed parallel, slightly less than leg's length away. Place hands on edge of bench, straighten arms, slide rear end off of bench, and position heels on adjacent bench with legs straight.
lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. raise body and repeat.",triceps brachii
close grip push-up,basic,compound,push," Lie prone on floor with hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight.
keeping body straight, lower body to floor by bending arms. push body up until arms are extended. repeat.",triceps brachii
suspended triceps extension (with rope),basic or auxiliary,isolated,push,"Grasp triceps rope hanging from secured bar (chest height or lower). Position forefeet on floor, back from bar with body straight. Elbows can be either be completely bent or straight during mount with upper arms somewhat perpendicular with body.keeping body straight, raise body up and back up until arms are extended. lower body by bending elbows, allowing head to travel between ends of rope. repeat.",triceps brachii
triceps dip,basic,compound,push,"Mount shoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.lower body until slight stretch is felt in shoulders. push body up until arms are straight. repeat.",triceps brachii
suspended triceps dip,basic,compound,push,"Stand between two suspension handles and grasp handles on each side of torso. Hold position firmly and lift feet from floor.
push body up until arms are straight. lower body until slight stretch is felt in shoulders. repeat.",triceps brachii
suspended triceps extension,basic or auxiliary,isolated,push,"Grasp handles and step forward between suspension trainers. Position arms downward and slightly forward, nearly parallel with suspension straps. Lean forward, placing upper body weight onto handles with arms straight, while stepping back onto forefeet so body is leaning forward at desired angle. Straighten body, so torso is in-line with legs.
lower body by bending elbows, allowing head to travel between suspension handles. raise body up and back up until arms are extended. repeat.",triceps brachii
self-assisted triceps dip,basic,compound,push,"Stand on bench or elevation between parallel bars. Mount shoulder width dip bar, arms straight with shoulders above hands. Bend knees and place toes on bench or elevation behind and below body.
lower body by bending arms back. if necessary, use minimal assistance of lower body to control descent, allowing knees to bend, keeping toes in contact with bench or elevation. when slight stretch is felt in chest or shoulders push body up until arms are straight. repeat with minimal assistance from legs.",triceps brachii
barbell curl,basic,isolated,pull,"Grasp bar with shoulder width underhand grip.
with elbows to side, raise bar until forearms are vertical. lower until arms are fully extended. repeat.",biceps brachii
barbell drag curl,auxiliary,isolated,pull,"Grasp bar with shoulder width underhand grip.
raise barbell straight up so elbows travel back as elbows flex. follow contour of hips and waist. as elbows continues to flex, begin bringing elbows forward when forearms rises past horizontal position. continue upward over chest until forearms are perpendicular. lower until arms are fully extended. repeat.",biceps brachii
cable alternating curl,basic or auxiliary,isolated,pull,"Stand between or facing double low pulleys. Grasp stirrups to each side, palms facing forward.
pull one stirrup up forward and upward toward shoulder while keeping elbow stationary. return until arm is fully extended. repeat on other arm, alternating between sides.",biceps brachii
cable curl,basic,isolated,pull,"Grasp low pulley cable bar with shoulder width underhand grip. Stand close to pulley.
with elbows to side, raise bar until forearms are vertical. lower until arms are fully extended. repeat.",biceps brachii
dumbbell curl,basic,isolated,pull," Position two dumbbells to sides, palms facing in, arms straight.
with elbows to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. lower to original position and repeat with opposite arm. continue to alternate between sides.",biceps brachii
dumbbell incline curl,basic or auxiliary,isolated,pull," Sit back on 45-60 degree incline bench. With arms hanging down straight, position two dumbbells with palms facing inward.
with elbows back to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. lower to original position and repeat with opposite arm. continue to alternate between sides.",biceps brachii
lever curl,basic or auxiliary,isolated,pull,"Sit on seat and grasp handles with underhand grip.
raise lever handles until elbows are fully flexed with back of upper arm remaining on pad. lower handles until arm is fully extended. repeat.",biceps brachii
chin-up,basic,compound,pull,Step up and grasp bar with underhand shoulder width grip.pull body up until elbows are to sides. lower body until arms and shoulders are fully extended. repeat.,latissimus dorsi
underhand inverted row,basic or auxiliary,compound,pull,"Lay on back under fixed horizontal bar. Grasp bar with shoulder width underhand grip.
keeping body straight, pull body up to bar. return until arms are extended and shoulders are stretched forward. repeat.","back, general"
barbell preacher curl,auxiliary,isolated,pull," Sit on preacher bench placing back of arms on pad. Grasp curl bar with shoulder width underhand grip.
raise bar until forearms are vertical. lower barbell until arms are fully extended. repeat.",brachialis
barbell prone incline curl,auxiliary,isolated,pull," Lie prone on incline bench with shoulders near top of incline. Knees can rest on seat or legs can be straddled to sides. From low rack or partner, grasp curl bar with shoulder width underhand grip.
raise bar until arms are flexed. lower barbell until arms are fully extended. repeat.",brachialis
cable concentration curl,auxiliary,isolated,pull," Facing low pulley cable, sit on seat or bench with legs apart to each side. Grasp stirrup attachment. Place upper arm against inner thigh.
pull stirrup to front of shoulder until elbow is completely flexed. lower stirrup until arm is fully extended. repeat. continue with opposite arm.",brachialis
cable preacher curl,auxiliary,isolated,pull," Sit on preacher bench placing back of arms on pad. Grasp cable bar with shoulder width underhand grip.
raise cable bar toward shoulders. lower cable bar until arms are fully extended. repeat.",brachialis
cable prone incline curl,auxiliary,isolated,pull," Lie prone on incline bench with shoulders near top of incline. Knees can rest on seat or legs can be straddled to sides. Grasp cable attachment with shoulder width underhand grip.
raise bar until arms are flexed. lower barbell until arms are fully extended. repeat.",brachialis
dumbbell concentration curl,auxiliary,isolated,pull," Sit on bench. Grasp dumbbell between feet. Place back of upper arm to inner thigh. Lean into leg to raise elbow slightly.
raise dumbbell to front of shoulder. lower dumbbell until arm is fully extended. repeat. continue with opposite arm.",brachialis
dumbbell preacher curl,auxiliary,isolated,pull," Grasp dumbbell and sit on preacher bench. With arm bent and palm facing shoulder, place back of arm down on pad.
lower dumbbell until arm is fully extended. raise dumbbell until forearm is vertical. repeat. continue with opposite arm.",brachialis
dumbbell prone incline curl,auxiliary,isolated,pull," Lie prone on incline bench with shoulders near top of incline. Knees can rest on seat or legs can be straddled to sides. From elevated platform or partner, grasp dumbbell and position palms forward.
raise dumbbells until arms are flexed. lower dumbbells until arms are fully extended. repeat.",brachialis
lever preacher curl (plate loaded),auxiliary,isolated,pull," Sit on curl machine placing back of arms on pad. Grasp lever handles with underhand grip. Align elbows at same pivot point as fulcrum of lever.
raise lever handles toward shoulders. lower handles until arms are fully extended. repeat.",brachialis
lever preacher curl,auxiliary,isolated,pull," Sit on curl machine placing back of arms on pad. Grasp lever handles with underhand grip. Align elbows at same pivot point as fulcrum of lever.
raise lever handles toward shoulders. lower handles until arms are fully extended. repeat.",brachialis
suspension arm curl,auxiliary,isolated,pull," Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body is reclined back. Position palms up or slightly inward.
bring handles toward shoulders by flexing arms, while keeping elbows pointed forward. return by straightening arms and repeat.",brachialis
machine-assisted triceps dip (kneeling),basic,compound,push," Mount shoulder width dip bar, arms straight with shoulders above hands. Kneel on padded platform, lowering it down slightly so hips are slightly bent.
lower body until slight stretch is felt in shoulders. push body up until arms are straight. repeat.",triceps brachii
barbell close grip incline bench press,basic or auxiliary,compound,push," Lie on bench with bar above chest. Grasp bar from rack with shoulder width or slightly narrower grip. Disengage bar by rotating bar back.
lower weight to chest with elbows close to body. push barbell up until arms are straight. repeat.",triceps brachii
barbell decline triceps extension,basic,isolated,push," Lie on decline bench with narrow overhand grip on barbell. Position barbell over shoulders with arms extended.
lower bar by bending elbows. as bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. extend arms. as bar clears head, reposition elbows to its former position until arms are fully extended. repeat.",triceps brachii
barbell incline triceps extension,basic,isolated,push," Lie on slightly incline bench with narrow overhand grip on barbell. Position barbell over shoulders with arms extended.
lower bar by bending elbows. as bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. extend arms. as bar clears head, reposition elbows to their former position until arms are fully extended. repeat.",triceps brachii
"barbell lying triceps extension ""skull crusher""",basic,isolated,push," Lie on bench with narrow overhand grip on barbell. Position barbell over shoulders with arms extended.
lower bar to forehead by bending elbows. extend arms and repeat.",triceps brachii
cable bent-over triceps extension (with rope attachment),basic or auxiliary,isolated,push," Grasp rope attachment from medium high pulley. Turn body away from pulley apparatus and position turned rope attachment behind neck. Bend over downward with rope attachment positioned behind neck gripped at each side. Lunge forward with one leg. Allow elbows to be pulled back under cable resistance.
extend forearms forward until elbows are straight. allow cable bar to return back over neck. repeat.",triceps brachii
cable decline triceps extension,basic,isolated,push,"Position legs under lower leg pad and lie back on bench. Grasp bar with narrow overhand grip. Position bar near forehead or top of head.
extend elbows to raise bar attachment until arms are straight. as arms extended, position them vertically. lower bar by bending elbows. as bar nears head, reposition elbows back just enough to allow bar to clear around curvature of head. repeat.",triceps brachii
cable alternating seated pushdown,auxiliary,isolated,push," Sit on seat or bench in font of two close high pulleys. Grasp stirrup with each hand (over or underhand grip). Position elbows to side.
push one stirrup down by extending elbow until arm is straight. return until forearm returns to original positon, keeping elbow close to side. repeat with opposite arm and alternate.",triceps brachii
cable pushdown (forward leaning),basic or auxiliary,isolated,push," Face high pulley and grasp revolving bar cable attachment with overhand grip. Position one leg back and bend forward leg with body leaning forward. Position revolving bar down in front of face with forearms nearing vertical.
push cable bar downward by extending arms until elbows are straight. return to front of face until forearms are nearly vertical and close to upper arm. repeat.",triceps brachii
cable incline pushdown,auxiliary,isolated,push," Lie on incline bench facing away from high pulley. Grasp cable attachment overhead with overhand narrow grip. Position elbow to sides, slightly up.
extend arms with elbows stationary. return until forearm is close to upper arm. repeat.",triceps brachii
cable one arm pushdown,auxiliary,isolated,push," Grasp dumbbell cable attachment with underhand grip. Position elbow to side.
extend arm down. return until forearm is close to upper arm. repeat. continue with opposite arm.",triceps brachii
cable pushdown (with back support),basic or auxiliary,isolated,push," Place back against vertical back support. Grasp cable attachment from high pulley with narrow overhand grip. Position elbows to side.
extend arms down. return until forearm is close to upper arm. repeat.",triceps brachii
cable pushdown (with rope attachment),auxiliary,isolated,push," Face high pulley and grasp rope attachment with clinched hands side by side (palms in). Position elbows to side.
extend arms down. turn palms down at bottom. return until forearm is close to upper arm and hands are in original position. repeat.",triceps brachii
cable pushdown (with v-bar),auxiliary,isolated,push,"Face high pulley and grasp V-bar attachment with narrow overhand grip. Position elbows to side.
extend arms down. return until forearm is close to upper arm. repeat.",triceps brachii
cable one arm triceps extension (pronated grip),auxiliary,isolated,push," Grasp stirrup cable attachment from behind. Place hand with cable behind neck; palm toward neck and elbow positioned upward.
extend arm upward. return and repeat. continue with opposite arm.",triceps brachii
cable triceps extension (with rope),"basic
or auxiliary",isolated,push,"From low pulley cable, grasp ends of rope attachment just
under enlarged ends. Raise one arm over head while turning body
away from pulley. Face away from pulley with feet staggered.
Position ends of ropes behind head or neck and elbows upward
over head.
raise ends of rope overhead by extending forearms until arms
are straight. lower rope attachment until forearms are against
upper arms. repeat.",triceps brachii
dumbbell decline triceps extension,auxiliary,isolated,push," Lie on decline bench and position dumbbells over shoulders with arms extended.
lower dumbbells by bending elbow until they are to sides of head; dumbbells touch shoulder. extend arm. repeat.",triceps brachii
dumbbell incline triceps extension,auxiliary,isolated,push," Lie supine on incline bench with back of head on upper corner of bench. Position dumbbells over head with arms extended.
lower dumbbells by bending elbow until they are to sides of head. extend arm and repeat.",triceps brachii
dumbbell one arm triceps extension (on bench),basic or auxiliary,isolated,push," Position dumbbell behind neck with elbow positioned upward.
extend arm until straight while maintaining upper arm's vertical position throughout exercise. return until dumbbell is behind neck or shoulder and repeat. continue with opposite arm.",triceps brachii
lever barbell close grip bench press (plate loaded),basic,compound,push," Lie on bench with bar above chest and grasp bar with shoulder width or slightly narrower grip. Disengage bar by rotating bar back.
lower weight to chest with elbows close to body. push barbell back up until arms are straight. repeat.",triceps brachii
"lever triceps extension (no seat, plate loaded)",basic or auxiliary,isolated,push,"Stand behind arm pad facing lever handles. Place one foot forward under arm pad and opposite foot back on foot bar. Grasp handles with narrow overhand grip. Squat down and position chest up against side of pad and back of upper arms on upper angled padded surface.
push lever down until arms are fully extended. return and repeat.",triceps brachii
lever close grip incline bench press,basic or auxiliary,compound,push," Lie on incline bench with parallel lever bars close to sides of chest. Grasp handles with shoulder width grip.
press lever until arms are ext


ended. return weight until wrists are at side of chest. repeat.",triceps brachii
